id,district,city,location,type,lat,lng,description
58,SOUTHERN POLICE DISTRICT,LAS PINAS CITY,"ALONG C5 ROAD EXTENSION, MANUYO UNO, LAS PIÑAS CITY (LAS PIÑAS CITY AND PARAÑAQUE BOUNDARY)",RoadClosure,14.479398,120.985997,Not verified
59,SOUTHERN POLICE DISTRICT,LAS PINAS CITY,"ALONG PADRE DIEGO CERA, AVE. MANUYO UNO, LAS PIÑAS CITY (LAS PIÑAS CITY AND PARAÑAQUE BOUNDARY)",RoadClosure,14.485799,120.985173,
60,SOUTHERN POLICE DISTRICT,LAS PINAS CITY,"ZAPOTE VIADUCT, BRGY. ZAPOTE, LAS PIÑAS CITY (LAS PIÑAS CITY AND CAVITE BOUNDARY)",RoadClosure,14.465292,120.96833,
61,SOUTHERN POLICE DISTRICT,LAS PINAS CITY,"ALONG CANAYNAY AVE. MANUYO DOS, LAS PIÑAS CITY (LAS PIÑAS CITY AND PARAÑAQUE BOUNDARY)",RoadClosure,14.466436,120.996353,Not verified
62,SOUTHERN POLICE DISTRICT,LAS PINAS CITY,"RIVERDRIVE, BFRV BRGY. TALON DOS, LAS PIÑAS CITY (LAS PIÑAS CITY AND CAVITE BOUNDARY)",RoadClosure,14.43789,120.990891,Not verified
63,SOUTHERN POLICE DISTRICT,LAS PINAS CITY,"MARCOS ALVAREZ AVENUE, TALON SINGKO, LAS PIÑAS CITY (LAS PIÑAS CITY AND CAVITE BOUNDARY)",RoadClosure,14.425719,121.001542,Not verified
64,EASTERN POLICE DISTRICT,MARIKINA CITY,"MAKABAYAN ST., COR JP RIZAL BRGY NANGKA",EntryExit,14.672926,121.109291,
65,EASTERN POLICE DISTRICT,MARIKINA CITY,"PAMBULI ST., COR MARCOS HIGHWAY (U-TURN) BRGY SAN ROQUE",EntryExit,14.621154,121.104751,
66,EASTERN POLICE DISTRICT,MARIKINA CITY,ARMSCOR AVE. COR SAMPAGUITA ST. FORTUNE (TO SAN MATEO),RoadClosure,14.665266,121.126632,Not verified
67,EASTERN POLICE DISTRICT,MARIKINA CITY,"DELOS SANTOS AVE. MONTEREY HILLS, FORTUNE (TO SAN MATEO)",RoadClosure,14.65382,121.133962,
68,EASTERN POLICE DISTRICT,MARIKINA CITY,LILAC ST COR OLIVE ST. CONCEPCION DOS (TO ANTIPOLO),RoadClosure,14.637059,121.121583,
69,EASTERN POLICE DISTRICT,MARIKINA CITY,"OLIVE EXT FOOTBRIDGE, CONCEPCION DOS (TO ANTIPOLO)",RoadClosure,14.636974,121.121531,
70,EASTERN POLICE DISTRICT,MARIKINA CITY,"SUMULONG HI- WAY COR KATIPUNAN ACCESS ROAD , STO NINO (TO ANTIPOLO)",RoadClosure,14.633663,121.108484,
71,EASTERN POLICE DISTRICT,MARIKINA CITY,MARCOS HIGHWAY INFRONT OF BUENVIAJE BLDG BRGY SAN ROQUE,RoadClosure,14.620940000000001,121.103572,
72,EASTERN POLICE DISTRICT,MARIKINA CITY,SAN MIGUEL PHASE 3 BRGY FORTUNE,RoadClosure,14.654034,121.133784,Not verified
73,EASTERN POLICE DISTRICT,MARIKINA CITY,"CHAMPACA ST., COR PONTE VERDE DRIVE BRGY FORTUNE",RoadClosure,14.651619,121.12973,
74,EASTERN POLICE DISTRICT,MARIKINA CITY,"PANORAMA ST., COR WACO ST., BRGY CONCEPCION DOS",RoadClosure,14.639259,121.127237,
75,EASTERN POLICE DISTRICT,MARIKINA CITY,"PANORAMA ST., COR IGNATIUS ST., BRGY CONCEPCION DOS",RoadClosure,14.638059,121.123033,
76,EASTERN POLICE DISTRICT,MARIKINA CITY,"KATIPUNAN ST., COR TANGERINE ST., CONCEPCION DOS",RoadClosure,14.637234,121.108883,
77,EASTERN POLICE DISTRICT,MARIKINA CITY,"CHESNUT ST., COR GOSPEL ST., BRGY SAN ROQUE",RoadClosure,14.626045,121.103863,
78,EASTERN POLICE DISTRICT,PASIG CITY,"EAST BANK ROAD, BRGY. STA LUCIA (TO TAYTAY)",EntryExit,14.581637,121.097761,
79,EASTERN POLICE DISTRICT,PASIG CITY,ORTIGAS AVE EXT. BRGY. STA LUCIA (TO ANTIPOLO/TAYTAY),EntryExit,14.58824,121.106521,
80,EASTERN POLICE DISTRICT,PASIG CITY,"KAGINHAWAAN ST., COR FELIX AVE., MAGGAHAN",RoadClosure,14.60477,121.105281,
81,EASTERN POLICE DISTRICT,PASIG CITY,GREEN PARK GATE FELIX AVE DELA PAZ,RoadClosure,14.615303,121.102051,
82,EASTERN POLICE DISTRICT,PASIG CITY,"GREENWOOD AVE., PINAGBUHATAN",RoadClosure,14.562418,121.098011,
83,EASTERN POLICE DISTRICT,PASIG CITY,"R THADEUS ST., MRV, STA LUCIA",RoadClosure,14.578784,121.10687,
84,EASTERN POLICE DISTRICT,PASIG CITY,"WEST BANK ROAD, BRGY. MAYBUNGA (TO TAYTAY)",RoadClosure,14.578153,121.097081,
85,EASTERN POLICE DISTRICT,PASIG CITY,"A. SANDOVAL CORNER EUSEBIO AVE, BRGY. PINAGBUHATAN (TO TAYTAY)",RoadClosure,14.543785,121.106118,
86,EASTERN POLICE DISTRICT,PASIG CITY,EUSEBIO AVE COR C6 ROAD BRGY. PINAGBUHATAN (TO TAYTAY),RoadClosure,14.534778,121.104224,
87,EASTERN POLICE DISTRICT,PASIG CITY,"TRAMO RD., STA LUCIA",RoadClosure,14.584645,121.100959,
